threshold,precision,recall,f1,f05,tp,fp,fn,eligible_recall_070
0.9530419111251831,1.0,0.1111111111111111,0.2,0.38461538461538464,1,0,8,False
0.9441368579864502,1.0,0.2222222222222222,0.36363636363636365,0.5882352941176471,2,0,7,False
0.939087986946106,1.0,0.3333333333333333,0.5,0.7142857142857143,3,0,6,False
0.9246463179588318,0.75,0.3333333333333333,0.46153846153846156,0.6,3,1,6,False
0.9136437177658081,0.8,0.4444444444444444,0.5714285714285714,0.6896551724137931,4,1,5,False
0.9095567464828491,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7575757575757576,5,1,4,False
0.8983343243598938,0.7142857142857143,0.5555555555555556,0.625,0.6756756756756757,5,2,4,False
0.898015022277832,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,6,2,3,False
0.8774644732475281,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,3,3,False
0.8697564601898193,0.6,0.6666666666666666,0.631578947368421,0.6122448979591837,6,4,3,False
0.8318430185317993,0.5454545454545454,0.6666666666666666,0.6,0.5660377358490566,6,5,3,False
0.8143839240074158,0.5,0.6666666666666666,0.5714285714285714,0.5263157894736842,6,6,3,False
0.791977047920227,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.4918032786885246,6,7,3,False
0.7120152711868286,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.46153846153846156,6,8,3,False
0.7010114192962646,0.4,0.6666666666666666,0.5,0.43478260869565216,6,9,3,False
0.6966460943222046,0.375,0.6666666666666666,0.48,0.410958904109589,6,10,3,False
0.6822270750999451,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.38961038961038963,6,11,3,False
0.6409934163093567,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.37037037037037035,6,12,3,False
0.6085606813430786,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.35294117647058826,6,13,3,False
0.6012619137763977,0.3,0.6666666666666666,0.41379310344827586,0.33707865168539325,6,14,3,False
0.5923681855201721,0.2857142857142857,0.6666666666666666,0.4,0.3225806451612903,6,15,3,False
0.57906174659729,0.2727272727272727,0.6666666666666666,0.3870967741935484,0.30927835051546393,6,16,3,False
0.5769498348236084,0.30434782608695654,0.7777777777777778,0.4375,0.3465346534653465,7,16,2,True
0.5708532929420471,0.2916666666666667,0.7777777777777778,0.42424242424242425,0.3333333333333333,7,17,2,True
0.5564736723899841,0.28,0.7777777777777778,0.4117647058823529,0.3211009174311927,7,18,2,True
0.5469175577163696,0.2692307692307692,0.7777777777777778,0.4,0.30973451327433627,7,19,2,True
0.5425936579704285,0.25925925925925924,0.7777777777777778,0.3888888888888889,0.29914529914529914,7,20,2,True
0.5303071141242981,0.25,0.7777777777777778,0.3783783783783784,0.2892561983471074,7,21,2,True
0.5099422931671143,0.2413793103448276,0.7777777777777778,0.3684210526315789,0.28,7,22,2,True
0.5038602948188782,0.23333333333333334,0.7777777777777778,0.358974358974359,0.2713178294573643,7,23,2,True
0.5018410682678223,0.22580645161290322,0.7777777777777778,0.35,0.2631578947368421,7,24,2,True
0.48705020546913147,0.21875,0.7777777777777778,0.34146341463414637,0.25547445255474455,7,25,2,True
0.4668969213962555,0.21212121212121213,0.7777777777777778,0.3333333333333333,0.24822695035460993,7,26,2,True
0.4375968873500824,0.20588235294117646,0.7777777777777778,0.32558139534883723,0.2413793103448276,7,27,2,True
0.4366677701473236,0.2,0.7777777777777778,0.3181818181818182,0.2348993288590604,7,28,2,True
0.41583073139190674,0.19444444444444445,0.7777777777777778,0.3111111111111111,0.22875816993464052,7,29,2,True
0.38133537769317627,0.1891891891891892,0.7777777777777778,0.30434782608695654,0.2229299363057325,7,30,2,True
0.3455694317817688,0.18421052631578946,0.7777777777777778,0.2978723404255319,0.21739130434782608,7,31,2,True
