threshold,precision,recall,f1,f05,tp,fp,fn,eligible_recall_070
0.966195285320282,1.0,0.03125,0.06060606060606061,0.1388888888888889,1,0,31,False
0.9596401453018188,1.0,0.0625,0.11764705882352941,0.25,2,0,30,False
0.9592992067337036,1.0,0.09375,0.17142857142857143,0.3409090909090909,3,0,29,False
0.9573953151702881,0.75,0.09375,0.16666666666666666,0.3125,3,1,29,False
0.9528446793556213,0.8,0.125,0.21621621621621623,0.38461538461538464,4,1,28,False
0.9512596130371094,0.8333333333333334,0.15625,0.2631578947368421,0.44642857142857145,5,1,27,False
0.9507043361663818,0.8571428571428571,0.1875,0.3076923076923077,0.5,6,1,26,False
0.9502503871917725,0.75,0.1875,0.3,0.46875,6,2,26,False
0.9499959945678711,0.7777777777777778,0.21875,0.34146341463414637,0.5147058823529411,7,2,25,False
0.9476146697998047,0.8,0.25,0.38095238095238093,0.5555555555555556,8,2,24,False
0.9447278380393982,0.8181818181818182,0.28125,0.4186046511627907,0.5921052631578947,9,2,23,False
0.9373204112052917,0.8333333333333334,0.3125,0.45454545454545453,0.625,10,2,22,False
0.92867511510849,0.8461538461538461,0.34375,0.4888888888888889,0.6547619047619048,11,2,21,False
0.9148047566413879,0.7857142857142857,0.34375,0.4782608695652174,0.625,11,3,21,False
0.907596230506897,0.8,0.375,0.5106382978723404,0.6521739130434783,12,3,20,False
0.8885244131088257,0.8125,0.40625,0.5416666666666666,0.6770833333333334,13,3,19,False
0.87928706407547,0.8235294117647058,0.4375,0.5714285714285714,0.7,14,3,18,False
0.8543228507041931,0.8333333333333334,0.46875,0.6,0.7211538461538461,15,3,17,False
0.8280332088470459,0.7894736842105263,0.46875,0.5882352941176471,0.6944444444444444,15,4,17,False
0.8243914246559143,0.75,0.46875,0.5769230769230769,0.6696428571428571,15,5,17,False
0.8064594268798828,0.7619047619047619,0.5,0.6037735849056604,0.6896551724137931,16,5,16,False
0.7864419221878052,0.7727272727272727,0.53125,0.6296296296296297,0.7083333333333334,17,5,15,False
0.7656084299087524,0.7391304347826086,0.53125,0.6181818181818182,0.6854838709677419,17,6,15,False
0.74234938621521,0.7083333333333334,0.53125,0.6071428571428571,0.6640625,17,7,15,False
0.6695785522460938,0.68,0.53125,0.5964912280701754,0.6439393939393939,17,8,15,False
0.6633312106132507,0.6538461538461539,0.53125,0.5862068965517241,0.625,17,9,15,False
0.5878890156745911,0.6296296296296297,0.53125,0.576271186440678,0.6071428571428571,17,10,15,False
0.5870307087898254,0.6071428571428571,0.53125,0.5666666666666667,0.5902777777777778,17,11,15,False
0.5866542458534241,0.5862068965517241,0.53125,0.5573770491803278,0.5743243243243243,17,12,15,False
0.5738844871520996,0.5666666666666667,0.53125,0.5483870967741935,0.5592105263157895,17,13,15,False
0.5499222874641418,0.5483870967741935,0.53125,0.5396825396825397,0.5448717948717948,17,14,15,False
0.5463652014732361,0.5625,0.5625,0.5625,0.5625,18,14,14,False
0.5433439612388611,0.5757575757575758,0.59375,0.5846153846153846,0.5792682926829268,19,14,13,False
0.5369938015937805,0.5588235294117647,0.59375,0.5757575757575758,0.5654761904761905,19,15,13,False
0.5133790373802185,0.5428571428571428,0.59375,0.5671641791044776,0.5523255813953488,19,16,13,False
0.49619245529174805,0.5277777777777778,0.59375,0.5588235294117647,0.5397727272727273,19,17,13,False
0.46968144178390503,0.5135135135135135,0.59375,0.5507246376811594,0.5277777777777778,19,18,13,False
0.45421090722084045,0.5,0.59375,0.5428571428571428,0.5163043478260869,19,19,13,False
0.44765210151672363,0.48717948717948717,0.59375,0.5352112676056338,0.5053191489361702,19,20,13,False
0.4440739154815674,0.5,0.625,0.5555555555555556,0.5208333333333334,20,20,12,False
0.440396249294281,0.4878048780487805,0.625,0.547945205479452,0.5102040816326531,20,21,12,False
0.4095088243484497,0.47619047619047616,0.625,0.5405405405405406,0.5,20,22,12,False
0.40375611186027527,0.46511627906976744,0.625,0.5333333333333333,0.49019607843137253,20,23,12,False
0.40270355343818665,0.4772727272727273,0.65625,0.5526315789473685,0.5048076923076923,21,23,11,False
0.39217495918273926,0.4666666666666667,0.65625,0.5454545454545454,0.49528301886792453,21,24,11,False
0.38804036378860474,0.45652173913043476,0.65625,0.5384615384615384,0.4861111111111111,21,25,11,False
0.38559773564338684,0.44680851063829785,0.65625,0.5316455696202531,0.4772727272727273,21,26,11,False
0.3838645815849304,0.4375,0.65625,0.525,0.46875,21,27,11,False
0.3502711355686188,0.42857142857142855,0.65625,0.5185185185185185,0.4605263157894737,21,28,11,False
0.3388855755329132,0.42,0.65625,0.5121951219512195,0.4525862068965517,21,29,11,False
0.33076950907707214,0.43137254901960786,0.6875,0.5301204819277109,0.4661016949152542,22,29,10,False
0.3288165032863617,0.4423076923076923,0.71875,0.5476190476190477,0.4791666666666667,23,29,9,True
0.3225255012512207,0.4339622641509434,0.71875,0.5411764705882353,0.4713114754098361,23,30,9,True
0.31511160731315613,0.42592592592592593,0.71875,0.5348837209302325,0.4637096774193548,23,31,9,True
0.3114546239376068,0.41818181818181815,0.71875,0.5287356321839081,0.45634920634920634,23,32,9,True
0.30763134360313416,0.4107142857142857,0.71875,0.5227272727272727,0.44921875,23,33,9,True
