model_id,name,performance_rank,selection_score,feature_mode,objective,threshold,val_accuracy,val_macro_f1,val_risky_recall,test_accuracy,test_macro_f1,test_risky_precision,test_risky_recall,test_risky_f1,test_not_risky_f1,model_file,metrics_file,test_service_scores_file
M006,NB char 3-5 balanced,P01,0.7597,char_3_5,balanced_macro_f1,0.95,0.7391,0.7387,0.6136,0.8143,0.6359,0.8548,0.9298,0.8908,0.381,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M006_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M006_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M006_test_service_scores.csv
M004,NB keyword heavy catch risky,P02,0.732,keyword_heavy,catch_risky,0.6,0.7536,0.7534,0.6136,0.7714,0.6606,0.8868,0.8246,0.8545,0.4667,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M004_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M004_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M004_test_service_scores.csv
M003,NB keyword augmented balanced,P03,0.709,word_unigram_bigram_keyword,balanced_macro_f1,0.09,0.7101,0.7101,0.5682,0.7571,0.61,0.8571,0.8421,0.8496,0.3704,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M003_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M003_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M003_test_service_scores.csv
M001,NB word unigram balanced,P04,0.6817,word_unigram,balanced_macro_f1,0.14,0.7246,0.7244,0.5909,0.7571,0.5238,0.8226,0.8947,0.8571,0.1905,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M001_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M001_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M001_test_service_scores.csv
M008,NB keyword augmented catch risky,P05,0.6676,word_unigram_bigram_keyword,catch_risky,0.15,0.6957,0.6954,0.5227,0.7143,0.5757,0.8491,0.7895,0.8182,0.3333,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M008_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M008_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M008_test_service_scores.csv
M002,NB word unigram+bigram balanced,P06,0.6541,word_unigram_bigram,balanced_macro_f1,0.21,0.7101,0.7101,0.5455,0.7,0.565,0.8462,0.7719,0.8073,0.3226,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M002_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M002_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M002_test_service_scores.csv
M007,NB word bigram accuracy tuned,P07,0.6541,word_unigram_bigram,accuracy,0.21,0.7101,0.7101,0.5455,0.7,0.565,0.8462,0.7719,0.8073,0.3226,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M007_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M007_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M007_test_service_scores.csv
M005,Bernoulli-style word bigram balanced,P08,0.6273,word_unigram_bigram,balanced_macro_f1,0.07,0.6667,0.6664,0.5,0.6714,0.544,0.84,0.7368,0.785,0.303,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M005_model.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M005_metrics.json,C:\Users\HP\Desktop\新建文件夹\trained_models\run_002_20260830_200908\M005_test_service_scores.csv
